地方公共団体コード,地方公共団体コード6桁,地方公共団体名,都道府県名,都道府県名または市町村名,状態,Q1【回答対象：全団体】オープンデータについて、どの程度ご存知ですか。当てはまるものを１つ選択してください。,Q2【回答対象：全団体】オープンデータについて、組織全体での認知度（知っている、知っているが詳細は分からない）はどの程度でしょうか？おおよその判断で構いませんので割合を1つ選択してください。,Q3【回答対象：全団体】貴団体はオープンデータに取り組んでいますか？,Q4【回答対象：まだオープンデータに取り組んでいない団体のみ】オープンデータの公開開始予定時期について、当てはまるものを１つ選択してください。,Q5【回答対象：まだオープンデータに取り組んでいない団体、かつ上記設問で「未計画」を選択した場合のみ】その理由を具体的にお答えください。,Q6【回答対象：全団体】貴団体のオープンデータの更新頻度について、当てはまるものを１つ選択してください。,Q7【回答対象：全団体】オープンデータとして公開されているファイル数について、当てはまるものを１つ選択してください。,Q8【回答対象：全団体】オープンデータ作成の現状として当てはまるものを選択してください。（該当するものをすべて選択してください）,Q9【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q10【回答対象：全団体】貴団体における過去4年間（令和3年度以降）に生まれたオープンデータ利活用事例において、当てはまるものを全て選択してください。,Q11【回答対象：上記設問で「その他、オープンデータを活用した事例がある」を選択した場合のみ】その具体的な内容をお答えください。事例を掲載したURL等でも構いません。,Q12【回答対象：全団体】オープンデータに取り組むにあたっての（未着手の団体の場合、着手することを含む）貴団体の課題や問題点について、最も優先度の高いものを選択してください。,Q13【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q14【回答対象：全団体】オープンデータに取り組むにあたり、貴団体が必要と考える支援（未着手の団体の場合、着手することを含む）について、最も優先度の高いものを選択してください。,Q15【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q16【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標を利用したことがありますか？,Q17【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q18【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料を利用したことがありますか？,Q19【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q20【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンを利用したことがありますか？,Q21【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンについてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q22【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体の制度を利用したことがありますか？,Q23【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q24【回答対象：全団体】自治体標準オープンデータセットのフォーマットでオープンデータの公開に取り組んでいますか。,Q25【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットに準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q26【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットのデータモデル型での公開を行っていますか。,Q27【回答対象：データモデル型での公開を行っている団体のみ】自治体標準オープンデータセット（データモデル型）に準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q28【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットを作成するときに、困ったことがあれば選択してください。（該当するものをすべて選択してください）,Q29【回答対象：すでに自治体標準ODSで公開している団体のみ】上記設問で「その他」を選択した場合、具体的な内容をご記載ください。,Q30【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ回答】今後、自治体標準オープンデータセットに準拠した公開を予定している、または公開を検討したいデータについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q31【回答対象：上記設問で「公開を検討すべき自治体標準オープンデータセットはない」を選択した場合のみ】その理由を選択してください。（該当するものをすべて選択してください）,Q32【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q33【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】データを公開することが困難な自治体標準オープンデータセットについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q34【回答対象：上記設問で「データを公開することが困難な自治体標準オープンデータセット」を選択した場合のみ】選択したデータ毎にその理由をご記載ください。,Q35【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセット以外のデータを公開予定であり、そのデータを自治体標準オープンデータセットへ追加することを希望する場合、その具体的なデータセットをお答えください。,Q36【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】既存の自治体標準オープンデータセットに、フィールドを追加したいデータセットがあれば選択してください。（該当するものをすべて選択してください）,Q37【回答対象：上記設問で「フィールドを追加したい自治体標準オープンデータセット」を選択した場合のみ】選択したデータセット毎にその項目をご記載ください。,Q38【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセットについて、設問以外のご意見やご要望があればご記入ください。,Q39【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】オープンデータの公開と合わせてメタデータの公開を行っていますか？,Q40【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「➁自治体標準オープンデータセット　オープンデータ一覧（改定案）」のフォーマットでオープンデータのメタデータを公開する事は可能でしょうか？,Q41【回答対象：上記設問で「困難」または「非常に困難」を選択した場合のみ】その理由をお答えください。（該当するものをすべて選択してください）,Q42【回答対象：上記設問で「その他」を選択した場合のみ】その内容を具体的にお答えください。,Q43【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、分かりやすい内容だと思いますか。,Q44【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、現在公表しているデータはどの段階に該当しますか。おおよその感触で構いません。（該当するものをすべて選択してください）,Q45【回答対象：上記設問で「その他」を選択した場合のみ】オープンデータの機械判読性段階モデル（案）に当てはまらないケースをご記載ください。,Q46【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、少しづつでも段階を上げていく取組を進めることが可能だと思いますか。,Q47【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】機械判読可能なオープンデータを増やす取組を進めるために最も有効だと思う支援を選択してください。,Q48【回答対象：上記設問で「その他」を選択した場合のみ】具体的に必要な支援内容をご記載ください。,Q49【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、改善すべき点等お気づきの点があればお聞かせください。,Q50【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】現在の、貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）についてお答えください。,Q51【回答対象：公式Webサイトの掲載内容に関する利用規約が政府標準利用規約の自治体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）を政府標準利用規約に変更した理由を教えてください。（該当するものをすべて選択してください）,Q52【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q53【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】自治体の公式Webサイトの著作権(ライセンス)が自団体で困ったことがあれば教えてください。（該当するものをすべて選択してください）,Q54【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q55【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約を仮に公共データ利用規約に変更しようとした場合、どのような課題があると考えられますか？,Q56【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q57【回答対象：全団体】アドレス・ベース・レジストリ・ジオコーダー（ABRジオコーダー）をデジタル庁より行政機関向けに無料での提供を予定していますが、オープンデータに位置座標を整備する際をはじめ、どのような業務で利用できそうか、ご意見をお聞かせください。,Q58【回答対象：全団体】オープンデータの取組全般について、設問以外のご意見やご要望があればご記入ください。
1000,10006,北海道,北海道,北海道,提出済,良く知っている,80%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,1001～5000,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している;現在は手動でオープンデータを作成しているが、今後は自動化することを検討している。,,職員の業務負荷低減に繋がったオープンデータ利活用事例がある;政策立案に繋がったオープンデータ利活用事例がある;住民サービスの向上につながったオープンデータ活用事例がある;複数の市区町村を巻き込んだ広域のオープンデータ利活用事例がある;民間事業者と連携したオープンデータ活用事例がある;その他、オープンデータを活用した事例がある,・計画やセミナーアーカイブデータの公開・人口動態、生命表、医療、保健に係る統計値をオープンデータ化,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,利用したことがない,,利用したことがない,,,,利用したことがない,,すでに取り組んでいる,"指定緊急避難場所一覧	;介護サービス事業所一覧	;医療機関一覧	",行っていない,,,,,,,,,,,,,,,,,どちらとも言えない,1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）;2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）,,,必要なソフトウェアやツールの提供,,,CC BY 4.0,,,,,,,,
1100,11002,北海道 札幌市,北海道,札幌市,提出済,知っているが詳細は分からない,50%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,1001～5000,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,民間事業者と連携したオープンデータ活用事例がある,,オープンデータの効果・メリット・ニーズが不明確,,その他,当市では、当課がオープンデータアップロードサイトの運営を行い、原課がどのデータをオープンデータ化するか判断しアップロードを行っている。例えば、飲食店新規営業許可のデータについては、これをオープンデータ化することで問い合わせが減るなど、原課から見たとき明確なメリットがあることがわかっている。しかし、こういったメリットがなければ原課としては積極的にオープンデータ化する動機が働かない。このため、先進的な取り組みでなくてもよいのでオープンデータがどういった利用のされた方をされているのか紹介するホームページなどがあれば原課としてもオープンデータ化に取り組みやすくなるのではないかと考える。,,,"利用したことがある	",,,,利用したことがない,,知っているがまだ取り組んでいない,"公衆無線LANアクセスポイント一覧	",行っている,,,,,,,,,,,,,行っている,,,,わかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,どちらとも言えない,ガイドライン、マニュアルの提供,,,自団体,,,,,利用規約（ライセンス）変更に対する法的な不安や懸念がある,,,
1202,12025,北海道 函館市,北海道,函館市,提出済,良く知っている,80%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,1001～5000,その他,各課がオープンデータを作成し，当課はその取りまとめをしているため。,住民サービスの向上につながったオープンデータ活用事例がある;災害時や緊急事態といった事象におけるオープンデータ利活用事例がある;複数の市区町村を巻き込んだ広域のオープンデータ利活用事例がある;その他、オープンデータを活用した事例がある,「元町配水場WEBCard」というWEBサイトで，大学の協力のもと，函館市元町配水場の情報をカード形式でスマートフォン用に配信している。,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,すでに取り組んでいる,"地域・年齢別人口	",行っている,"投票所一覧	",元データの項目が不足しているため、必要なデータの収集が難しい,,"学校給食献立情報	;小中学校通学区域情報	;ボーリング柱状図等	;都市計画基礎調査情報	;データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：赤ちゃんの駅	;データモデル型：ゴミ集積所一覧	;データモデル型：観光ポイント	",,,"調達情報	;支援制度（給付金）情報	",・調達情報;収集するデータの量が多すぎるため;;・支援制度（給付金）情報;給付金は1つの課ではなく，多数の課に関することであり，まとめることが難しいため,,"フィールドを追加したいデータセットはない	",,フィールドが多すぎるので，自治体標準ODSに準拠できないデータが多い。自治体標準ODSに準拠しているデータを多く持っている自治体があれば，見て参考にしたい。,行っている,困難,"メタデータの公開にかかる人的リソースが不足している	",,非常にわかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,トレーニングや研修の提供,,,CC BY 2.1 JP,,,権利が不明確で利用許諾ができなかった,,利用規約（ライセンス）変更に対する法的な不安や懸念がある,,より多くのオープンデータが，自治体標準ODSに準拠したデータとして公開することができるため，活用がされやすくなる。,
1203,12033,北海道 小樽市,北海道,小樽市,提出済,良く知っている,よく分からない,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,501～1000,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある,,オープンデータを担当する人的リソースがない,,手順等をまとめたガイドラインの整備,,,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,行っている,困難,"メタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	",,どちらとも言えない,2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）;3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,どちらとも言えない,他自治体の取り組み事例の共有,,,自団体,,,,,,,,
1204,12041,北海道 旭川市,北海道,旭川市,提出済,良く知っている,50%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,501～1000,PDFやWebサイトの情報から手動でオープンデータを作成している,,よく分からない,,オープンデータを担当する人的リソースがない,,その他,人的リソースの不足を補うための，特別交付税の支援,利用したことがない,,,,,,,,知らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,12050,北海道 室蘭市,北海道,室蘭市,提出済,良く知っている,80%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,51～100,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータをマクロ等を用いて自動でオープンデータを作成してい;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,職員の業務負荷低減に繋がったオープンデータ利活用事例がある;住民サービスの向上につながったオープンデータ活用事例がある;災害時や緊急事態といった事象におけるオープンデータ利活用事例がある;複数の市区町村を巻き込んだ広域のオープンデータ利活用事例がある;民間事業者と連携したオープンデータ活用事例がある,,自団体にオープンデータの知識がある職員がいない,,他の地方公共団体との連携支援,,利用したことがない,,,,利用したことがない,,利用したことがない,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,"指定緊急避難場所一覧	;地域・年齢別人口	;AED設置箇所一覧	",行っていない,,"他の省庁等の依頼により別のフォーマットでデータを作成しているため、作業が重複している;データ形式が異なるため変換に時間がかかる	",,"公衆無線LANアクセスポイント一覧	;公衆トイレ一覧	;消防水利施設一覧	;調達情報	",,,"介護サービス事業所一覧	;小中学校通学区域情報	;ボーリング柱状図等	;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	",,,,,,行っていない,時間はかかるが可能,,,非常にわかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,「できるだけ」のレベルが読み手側によるので、取ってしまってもいいような気がします。具体的な利用シーンが想像できないので、段階ごとに、利用者が「何ができるか？」を記載するとよいと思います。,CC BY 4.0,,,,,,,・住民基本台帳のポイント化により、個人宅に訪問するときのマップになる・また、ABRの建物のIDと住民基本台帳のIDを結合して、家と個人を結びつけることが可能になる？（となると消防指令業務で役立ちそうです）,
1206,12068,北海道 釧路市,北海道,釧路市,提出済,良く知っている,よく分からない,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータを担当する人的リソースがない,,よく分からない,,利用したことがない,,利用したことがない,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,意見無し,意見無し
1207,12076,北海道 帯広市,北海道,帯広市,提出済,良く知っている,10%未満,取組んでいる,,,ほとんど更新していない,10以下,システムから出力したファイルを手動で修正してオープンデータを作成している;現在は手動でオープンデータを作成しているが、今後は自動化することを検討している。,,よく分からない,,業務量の増加が予想されるため、導入できていない,,関係者の説得支援,,利用したことがない,,利用したことがない,,利用したことがない,,,,知っているがまだ取り組んでいない,,,,,,"公共施設一覧	;文化財一覧	;地域・年齢別人口	;子育て施設一覧	;オープンデータ一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;消防水利施設一覧	;学校給食献立情報	;小中学校通学区域情報	;ボーリング柱状図等	;都市計画基礎調査情報	;調達情報	;支援制度（給付金）情報	;データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	;データモデル型：投票所一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：ゴミ集積所一覧	;データモデル型：観光ポイント	",,,,,,,,,行っていない,時間はかかるが可能,,,わかりやすい,3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,CC BY 4.0,,,,,変更のための手続きがわからない,,・BIツールを利用したデータ可視化において、マップを使用したダッシュボードを増やすことができる。・防災関連のデータと住基情報など、住所をキーとした紐づけが容易になる。,
1208,12084,北海道 北見市,北海道,北見市,提出済,知っているが詳細は分からない,よく分からない,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,11～50,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータを担当する人的リソースがない,,先進的な活用事例の公開,,利用したことがない,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,12092,北海道 夕張市,北海道,夕張市,提出済,良く知っている,30%,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,101～500,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,オープンデータ作成・公開の作業支援,,,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,"指定緊急避難場所一覧	;介護サービス事業所一覧	;医療機関一覧	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
